City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Country
216,Creel,27.75,-107.6333,71.28,40,54,7.83,broken clouds,MX
217,Pimentel,-6.8367,-79.9342,66.49,68,0,24.16,clear sky,PE
218,Tessalit,20.1986,1.0114,90.72,11,0,8.79,clear sky,ML
219,Cairns,-16.9167,145.7667,75.15,71,90,8.05,overcast clouds,AU
220,Areosa,41.7178,-8.8571,65.32,89,28,15.82,scattered clouds,PT
221,Fort Nelson,58.8053,-122.7002,56.79,47,75,5.75,broken clouds,CA
222,Constitucion,-35.3333,-72.4167,50.54,81,2,14.2,clear sky,CL
223,Lagunas,-5.2269,-75.6753,84.0,58,59,3.6,broken clouds,PE
224,Kavieng,-2.5744,150.7967,83.53,70,54,8.72,broken clouds,PG
225,Georgetown,5.4112,100.3354,78.73,93,40,3.44,scattered clouds,MY
226,Juneau,58.3019,-134.4197,55.45,86,75,8.05,light rain,US
227,Fortuna,40.5982,-124.1573,74.19,62,20,8.01,few clouds,US
228,Vestmannaeyjar,63.4427,-20.2734,50.11,94,100,35.19,overcast clouds,IS
229,Upernavik,72.7868,-56.1549,25.52,63,73,7.52,broken clouds,GL
230,Bikaner,28.0167,73.3,86.95,62,42,5.14,scattered clouds,IN
231,Syedove,47.0768,38.156,66.0,82,90,11.36,overcast clouds,UA
232,Dubbo,-32.25,148.6167,51.93,76,0,1.14,clear sky,AU
233,Ayagoz,47.9714,80.4392,41.27,57,24,8.25,few clouds,KZ
234,Pochutla,15.7432,-96.4661,87.62,73,91,5.23,overcast clouds,MX
235,Peterhead,57.5058,-1.7981,54.72,94,29,5.95,scattered clouds,GB
236,Severnyy,50.677,36.5532,51.84,100,90,2.24,fog,RU
237,Kirakira,-10.4544,161.9205,83.34,76,97,14.12,overcast clouds,SB
238,Ancud,-41.8697,-73.8203,49.53,85,33,7.27,scattered clouds,CL
239,Yaan,7.3833,8.5667,74.1,93,65,5.88,broken clouds,NG
240,Lyubech,51.7026,30.6569,49.05,95,100,5.41,overcast clouds,UA
241,Potosi,-19.5836,-65.7531,54.54,38,5,6.98,clear sky,BO
242,San Policarpo,12.1791,125.5072,81.36,80,97,2.73,moderate rain,PH
243,Yerofey Pavlovich,53.9667,121.9667,41.88,89,41,2.37,scattered clouds,RU
244,Koyelga,54.6522,60.9049,34.34,72,53,11.34,broken clouds,RU
245,Margate,51.3813,1.3862,62.31,92,100,8.12,overcast clouds,GB
246,Boone,39.0334,-92.3335,88.65,55,32,11.39,scattered clouds,US
247,Kiama,-34.6833,150.8667,64.45,35,0,8.34,clear sky,AU
248,Batagay-Alyta,67.8006,130.4114,26.69,83,81,1.83,broken clouds,RU
249,Jerome,42.7241,-114.5186,56.75,71,75,20.71,broken clouds,US
250,El Corozal,15.0667,-88.6167,89.44,88,99,4.65,overcast clouds,HN
251,Rajpur,22.3,74.35,74.08,94,33,6.13,scattered clouds,IN
252,Turayf,31.6725,38.6637,70.05,28,0,0.0,clear sky,SA
253,Pevek,69.7008,170.3133,30.76,74,93,6.71,overcast clouds,RU
254,Watrous,51.6668,-105.4679,64.18,34,99,11.5,overcast clouds,CA
255,Bielsko-Biala,49.8224,19.0469,50.29,82,100,3.04,overcast clouds,PL
256,Gueret,46.1667,1.8667,54.25,99,100,2.64,overcast clouds,FR
257,Saint-Pierre,-21.3393,55.4781,64.08,67,75,10.36,broken clouds,RE
258,Cabedelo,-6.9811,-34.8339,77.67,72,67,15.64,broken clouds,BR
259,Kralendijk,12.15,-68.2667,84.18,74,7,13.8,clear sky,BQ
260,Kismayo,-0.3582,42.5454,76.64,79,2,19.06,clear sky,SO
261,Kasamwa,-2.85,32.4333,67.06,80,89,2.75,overcast clouds,TZ
262,Port Augusta,-32.5,137.7667,53.74,46,95,19.91,overcast clouds,AU
263,Suez,29.9737,32.5263,73.8,67,0,11.3,clear sky,EG
264,Salalah,17.0151,54.0924,80.69,89,75,5.75,broken clouds,OM
265,Pergamino,-33.89,-60.5736,63.18,92,98,7.16,overcast clouds,AR
266,Tuatapere,-46.1333,167.6833,54.82,72,49,10.13,scattered clouds,NZ
267,Atambua,-9.1061,124.8925,75.38,64,22,4.27,few clouds,ID
268,Namatanai,-3.6667,152.4333,83.23,68,76,3.71,broken clouds,PG
269,Dawei,14.0833,98.2,74.89,93,100,2.84,overcast clouds,MM
270,Monastyrshchina,54.3496,31.838,42.87,95,100,13.18,overcast clouds,RU
271,Zharkent,44.1628,80.0,65.1,28,55,6.8,broken clouds,KZ
272,Bonthe,7.5264,-12.505,76.08,90,100,4.23,light rain,SL
273,Abu Dhabi,24.4667,54.3667,89.71,70,0,3.44,clear sky,AE
274,Vrnjacka Banja,43.6167,20.9,58.23,84,6,3.87,clear sky,RS
275,El Triunfo,-1.9333,-79.9667,85.77,52,87,11.45,overcast clouds,EC
276,Pecos,31.4229,-103.4932,98.69,14,1,3.44,clear sky,US
277,Chauk,20.8833,94.8167,77.68,91,100,1.3,overcast clouds,MM
278,Rabat,33.9911,-6.8401,69.15,94,40,0.0,scattered clouds,MA
279,Araouane,18.9048,-3.5265,96.66,14,6,8.75,clear sky,ML
280,Voh,-20.9667,164.7,77.09,44,1,5.61,clear sky,NC
281,Naze,28.3667,129.4833,74.32,71,21,2.28,few clouds,JP
282,Tampilisan,8.0167,122.6833,73.27,92,100,2.37,overcast clouds,PH
283,Khani,41.9563,42.9566,54.97,66,57,4.18,broken clouds,GE
284,Chokurdakh,70.6333,147.9167,28.26,70,95,9.48,overcast clouds,RU
285,Tucurui,-3.7661,-49.6725,78.08,74,92,3.83,overcast clouds,BR
286,Opuwo,-18.0607,13.84,67.75,31,0,6.89,clear sky,NA
287,Blagoyevo,63.3667,47.9167,37.78,70,100,5.77,overcast clouds,RU
288,Masallatah,32.6167,14.0,81.3,39,0,8.77,clear sky,LY
289,Biak,-0.9131,122.8766,77.77,78,83,3.58,broken clouds,ID
290,Caravelas,-17.7125,-39.2481,72.19,80,22,6.98,few clouds,BR
291,Botro,7.8525,-5.3106,76.48,98,34,4.07,moderate rain,CI
292,Gat,31.61,34.7642,78.4,66,0,4.63,clear sky,IL
293,Longyearbyen,78.2186,15.6401,39.04,93,75,2.3,broken clouds,SJ
294,Lethem,3.3803,-59.7968,80.8,72,82,2.86,broken clouds,GY
295,Banff,51.1762,-115.5698,56.57,43,77,4.61,broken clouds,CA
296,Helena,46.5927,-112.0361,63.32,51,90,7.0,overcast clouds,US
297,Ambilobe,-13.2,49.05,73.27,74,93,5.95,overcast clouds,MG
298,Coquimbo,-29.9533,-71.3436,58.73,72,20,11.5,few clouds,CL
299,Guilin,25.2819,110.2864,77.11,94,83,0.49,broken clouds,CN
300,Bambous Virieux,-20.3428,57.7575,70.05,56,40,6.91,scattered clouds,MU
301,Phonhong,18.5007,102.4166,74.77,94,100,3.29,overcast clouds,LA
302,Pedro Ii,-4.4247,-41.4586,79.59,47,99,4.47,overcast clouds,BR
303,Sur,22.5667,59.5289,81.48,75,59,12.19,broken clouds,OM
304,Banjar,-8.19,114.9675,76.86,86,23,5.5,few clouds,ID
305,Rocha,-34.4833,-54.3333,60.91,98,100,10.16,overcast clouds,UY
306,Ayan,56.45,138.1667,45.97,50,1,14.88,clear sky,RU
307,Zdvinsk,54.7021,78.661,37.92,78,90,15.95,overcast clouds,RU
308,Omboue,-1.5746,9.2618,75.6,83,53,6.11,broken clouds,GA
309,Fairbanks,64.8378,-147.7164,47.3,64,75,5.75,broken clouds,US
310,North Branch,45.5113,-92.9802,89.67,51,80,18.01,broken clouds,US
311,Nabire,-3.3667,135.4833,75.87,89,100,2.64,overcast clouds,ID
312,Guerrero Negro,27.9769,-114.0611,74.01,65,1,19.3,clear sky,MX
313,Salantai,56.0667,21.5667,40.42,73,61,10.83,broken clouds,LT
314,Kindu,-2.95,25.95,70.03,99,100,2.53,light rain,CD
315,Tiksi,71.6872,128.8694,34.48,74,100,19.51,overcast clouds,RU
316,Doha,25.2867,51.5333,89.58,72,0,4.61,clear sky,QA
317,San Cristobal,7.7669,-72.225,77.18,96,56,2.89,broken clouds,VE
318,Santa Maria Del Oro,25.9333,-105.3667,82.78,25,34,8.75,scattered clouds,MX
319,Goderich,43.7501,-81.7165,71.91,60,0,3.44,clear sky,CA
320,Bilibino,68.0546,166.4372,24.15,70,37,4.32,scattered clouds,RU
321,Vila Franca Do Campo,37.7167,-25.4333,68.41,74,68,9.44,broken clouds,PT
322,Celestun,20.8667,-90.4,83.73,76,20,14.29,few clouds,MX
323,Srostki,52.4189,85.7022,43.79,87,100,10.54,light rain,RU
324,Rocky Mountain House,52.3668,-114.9188,59.11,29,70,3.44,broken clouds,CA
325,Colesberg,-30.72,25.0972,54.61,16,17,4.52,few clouds,ZA
326,Roald,62.5833,6.1333,58.15,94,90,3.44,overcast clouds,NO
327,Cyangugu,-2.4846,28.9075,60.94,90,54,1.81,broken clouds,RW
328,Corinto,37.9407,22.9573,80.76,67,0,7.09,clear sky,GR
329,Komsomolskiy,40.4272,71.7189,68.72,37,0,6.91,clear sky,UZ
330,Samarai,-10.6167,150.6667,78.84,88,99,15.35,overcast clouds,PG
331,Lipova,46.0833,21.7,54.63,68,39,2.46,light rain,RO
332,Aklavik,68.2191,-135.0107,45.43,45,17,2.55,few clouds,CA
333,Lar,26.2039,83.9717,80.08,84,81,4.99,broken clouds,IN
334,Bergama,39.1207,27.1805,79.83,50,22,1.43,few clouds,TR
335,Phalombe,-15.8064,35.6507,58.19,75,9,2.44,clear sky,MW
336,Churapcha,62.0025,132.4325,31.6,98,100,9.55,snow,RU
337,Terney,45.0503,136.6092,55.87,55,80,6.76,broken clouds,RU
338,Klaksvik,62.2266,-6.589,52.72,87,38,11.74,scattered clouds,FO
